codigo;nombre;unidad;familia;sistema;costo_unitario
TAC120;"TUBERIA ACERO AL CARBONO Ø 1/2"" (ASTM A-53) (5,80 M)";UND;TUBERIAS;CHW;0
TAC034;"TUBERIA ACERO AL CARBONO Ø 3/4"" (ASTM A-53)  (5,80 M)";UND;TUBERIAS;CHW;0
TAC001;"TUBERIA ACERO AL CARBONO Ø 1"" (ASTM A-53)  (5,80 M)";UND;TUBERIAS;CHW;0
TAC112;"TUBERIA ACERO AL CARBONO Ø 1 1/2"" (ASTM A-53)  (5,80 M)";UND;TUBERIAS;CHW;0
TAC002;"TUBERIA ACERO AL CARBONO Ø 2"" (ASTM A-53)  (5,80 M)";UND;TUBERIAS;CHW;0
TAC212;"TUBERIA ACERO AL CARBONO Ø 2 1/2"" (ASTM A-53)  (5,80 M)";UND;TUBERIAS;CHW;0
TAC003;"TUBERIA ACERO AL CARBONO Ø 3"" (ASTM A-53)  (5,80 M)";UND;TUBERIAS;CHW;0
TAC004;"TUBERIA ACERO AL CARBONO Ø 4"" (ASTM A-53)  (5,80 M)";UND;TUBERIAS;CHW;0
TAC006;"TUBERIA ACERO AL CARBONO Ø 6"" (ASTM A-53)  (5,80 M)";UND;TUBERIAS;CHW;0
TAC008;"TUBERIA ACERO AL CARBONO Ø 8"" (ASTM A-53)  (5,80 M)";UND;TUBERIAS;CHW;0
TAC010;"TUBERIA ACERO AL CARBONO Ø 10"" (ASTM A-53)  (5,80 M)";UND;TUBERIAS;CHW;0
TAC012;"TUBERIA ACERO AL CARBONO Ø 12"" (ASTM A-53)  (5,80 M)";UND;TUBERIAS;CHW;0
TAC014;"TUBERIA ACERO AL CARBONO Ø 14"" (ASTM A-53)  (5,80 M)";UND;TUBERIAS;CHW;0
DS120;"BRANCH CONNECTION ACERO AL CARBONO Ø 1/2"" (ASTM A-53)";UND;TUBERIAS;CHW;0
DS034;"BRANCH CONNECTION ACERO AL CARBONO Ø 3/4"" (ASTM A-53)";UND;TUBERIAS;CHW;0
DS001;"BRANCH CONNECTION ACERO AL CARBONO Ø 1"" (ASTM A-53)";UND;TUBERIAS;CHW;0
DS112;"BRANCH CONNECTION ACERO AL CARBONO Ø 1 1/2"" (ASTM A-53)";UND;TUBERIAS;CHW;0
DS002;"BRANCH CONNECTION ACERO AL CARBONO Ø 2"" (ASTM A-53)";UND;TUBERIAS;CHW;0
DS003;"BRANCH CONNECTION ACERO AL CARBONO Ø 3"" (ASTM A-53)";UND;TUBERIAS;CHW;0
DS004;"BRANCH CONNECTION ACERO AL CARBONO Ø 4"" (ASTM A-53)";UND;TUBERIAS;CHW;0
DS006;"BRANCH CONNECTION ACERO AL CARBONO Ø 6"" (ASTM A-53)";UND;TUBERIAS;CHW;0
DS008;"BRANCH CONNECTION ACERO AL CARBONO Ø 8"" (ASTM A-53)";UND;TUBERIAS;CHW;0
DS010;"BRANCH CONNECTION ACERO AL CARBONO Ø 10"" (ASTM A-53)";UND;TUBERIAS;CHW;0
DS012;"BRANCH CONNECTION ACERO AL CARBONO Ø 12"" (ASTM A-53)";UND;TUBERIAS;CHW;0
DS014;"BRANCH CONNECTION ACERO AL CARBONO Ø 14"" (ASTM A-53)";UND;TUBERIAS;CHW;0
C30-120;"CODO 30° ACERO AL CARBONO, PARA SOLDAR. Ø 1/2"" (ASTM A-53)";UND;TUBERIAS;CHW;0
C30-034;"CODO 30° ACERO AL CARBONO, PARA SOLDAR. Ø 3/4"" (ASTM A-53)";UND;TUBERIAS;CHW;0
C30-001;"CODO 30° ACERO AL CARBONO, PARA SOLDAR. Ø 1"" (ASTM A-53)";UND;TUBERIAS;CHW;0
C30-112;"CODO 30° ACERO AL CARBONO, PARA SOLDAR. Ø 1 1/2"" (ASTM A-53)";UND;TUBERIAS;CHW;0
C30-002;"CODO 30° ACERO AL CARBONO, PARA SOLDAR. Ø 2"" (ASTM A-53)";UND;TUBERIAS;CHW;0
C30-003;"CODO 30° ACERO AL CARBONO, PARA SOLDAR. Ø 3"" (ASTM A-53)";UND;TUBERIAS;CHW;0
C30-004;"CODO 30° ACERO AL CARBONO, PARA SOLDAR. Ø 4"" (ASTM A-53)";UND;TUBERIAS;CHW;0
C30-006;"CODO 30° ACERO AL CARBONO, PARA SOLDAR. Ø 6"" (ASTM A-53)";UND;TUBERIAS;CHW;0
C30-008;"CODO 30° ACERO AL CARBONO, PARA SOLDAR. Ø 8"" (ASTM A-53)";UND;TUBERIAS;CHW;0
C30-010;"CODO 30° ACERO AL CARBONO, PARA SOLDAR. Ø 10"" (ASTM A-53)";UND;TUBERIAS;CHW;0
C30-012;"CODO 30° ACERO AL CARBONO, PARA SOLDAR. Ø 12"" (ASTM A-53)";UND;TUBERIAS;CHW;0
C30-014;"CODO 30° ACERO AL CARBONO, PARA SOLDAR. Ø 14"" (ASTM A-53)";UND;TUBERIAS;CHW;0
C45-120;"CODO 45° ACERO AL CARBONO, PARA SOLDAR. Ø 1/2"" (ASTM A-53)";UND;TUBERIAS;CHW;0
C45-034;"CODO 45° ACERO AL CARBONO, PARA SOLDAR. Ø 3/4"" (ASTM A-53)";UND;TUBERIAS;CHW;0
C45-001;"CODO 45° ACERO AL CARBONO, PARA SOLDAR. Ø 1"" (ASTM A-53)";UND;TUBERIAS;CHW;0
C45-112;"CODO 45° ACERO AL CARBONO, PARA SOLDAR. Ø 1 1/2"" (ASTM A-53)";UND;TUBERIAS;CHW;0
C45-002;"CODO 45° ACERO AL CARBONO, PARA SOLDAR. Ø 2"" (ASTM A-53)";UND;TUBERIAS;CHW;0
C45-003;"CODO 45° ACERO AL CARBONO, PARA SOLDAR. Ø 3"" (ASTM A-53)";UND;TUBERIAS;CHW;0
C45-004;"CODO 45° ACERO AL CARBONO, PARA SOLDAR. Ø 4"" (ASTM A-53)";UND;TUBERIAS;CHW;0
C45-006;"CODO 45° ACERO AL CARBONO, PARA SOLDAR. Ø 6"" (ASTM A-53)";UND;TUBERIAS;CHW;0
C45-008;"CODO 45° ACERO AL CARBONO, PARA SOLDAR. Ø 8"" (ASTM A-53)";UND;TUBERIAS;CHW;0
C45-010;"CODO 45° ACERO AL CARBONO, PARA SOLDAR. Ø 10"" (ASTM A-53)";UND;TUBERIAS;CHW;0
C45-012;"CODO 45° ACERO AL CARBONO, PARA SOLDAR. Ø 12"" (ASTM A-53)";UND;TUBERIAS;CHW;0
C45-014;"CODO 45° ACERO AL CARBONO, PARA SOLDAR. Ø 14"" (ASTM A-53)";UND;TUBERIAS;CHW;0
C60-120;"CODO 60° ACERO AL CARBONO, PARA SOLDAR. Ø 1/2"" (ASTM A-53)";UND;TUBERIAS;CHW;0
C60-034;"CODO 60° ACERO AL CARBONO, PARA SOLDAR. Ø 3/4"" (ASTM A-53)";UND;TUBERIAS;CHW;0
C60-001;"CODO 60° ACERO AL CARBONO, PARA SOLDAR. Ø 1"" (ASTM A-53)";UND;TUBERIAS;CHW;0
C60-112;"CODO 60° ACERO AL CARBONO, PARA SOLDAR. Ø 1 1/2"" (ASTM A-53)";UND;TUBERIAS;CHW;0
C60-002;"CODO 60° ACERO AL CARBONO, PARA SOLDAR. Ø 2"" (ASTM A-53)";UND;TUBERIAS;CHW;0
C60-003;"CODO 60° ACERO AL CARBONO, PARA SOLDAR. Ø 3"" (ASTM A-53)";UND;TUBERIAS;CHW;0
C60-004;"CODO 60° ACERO AL CARBONO, PARA SOLDAR. Ø 4"" (ASTM A-53)";UND;TUBERIAS;CHW;0
C60-006;"CODO 60° ACERO AL CARBONO, PARA SOLDAR. Ø 6"" (ASTM A-53)";UND;TUBERIAS;CHW;0
C60-008;"CODO 60° ACERO AL CARBONO, PARA SOLDAR. Ø 8"" (ASTM A-53)";UND;TUBERIAS;CHW;0
C60-010;"CODO 60° ACERO AL CARBONO, PARA SOLDAR. Ø 10"" (ASTM A-53)";UND;TUBERIAS;CHW;0
C60-012;"CODO 60° ACERO AL CARBONO, PARA SOLDAR. Ø 12"" (ASTM A-53)";UND;TUBERIAS;CHW;0
C60-014;"CODO 60° ACERO AL CARBONO, PARA SOLDAR. Ø 14"" (ASTM A-53)";UND;TUBERIAS;CHW;0
C90-120;"CODO 90° ACERO AL CARBONO, PARA SOLDAR. Ø 1/2"" (ASTM A-53)";UND;TUBERIAS;CHW;0
C90-034;"CODO 90° ACERO AL CARBONO, PARA SOLDAR. Ø 3/4"" (ASTM A-53)";UND;TUBERIAS;CHW;0
C90-001;"CODO 90° ACERO AL CARBONO, PARA SOLDAR. Ø 1"" (ASTM A-53)";UND;TUBERIAS;CHW;0
C90-112;"CODO 90° ACERO AL CARBONO, PARA SOLDAR. Ø 1 1/2"" (ASTM A-53)";UND;TUBERIAS;CHW;0
C90-002;"CODO 90° ACERO AL CARBONO, PARA SOLDAR. Ø 2"" (ASTM A-53)";UND;TUBERIAS;CHW;0
C90-212;"CODO 90° ACERO AL CARBONO, PARA SOLDAR. Ø 2 1/2"" (ASTM A-53)";UND;TUBERIAS;CHW;0
C90-003;"CODO 90° ACERO AL CARBONO, PARA SOLDAR. Ø 3"" (ASTM A-53)";UND;TUBERIAS;CHW;0
C90-004;"CODO 90° ACERO AL CARBONO, PARA SOLDAR. Ø 4"" (ASTM A-53)";UND;TUBERIAS;CHW;0
C90-006;"CODO 90° ACERO AL CARBONO, PARA SOLDAR. Ø 6"" (ASTM A-53)";UND;TUBERIAS;CHW;0
C90-008;"CODO 90° ACERO AL CARBONO, PARA SOLDAR. Ø 8"" (ASTM A-53)";UND;TUBERIAS;CHW;0
C90-010;"CODO 90° ACERO AL CARBONO, PARA SOLDAR. Ø 10"" (ASTM A-53)";UND;TUBERIAS;CHW;0
C90-012;"CODO 90° ACERO AL CARBONO, PARA SOLDAR. Ø 12"" (ASTM A-53)";UND;TUBERIAS;CHW;0
C90-014;"CODO 90° ACERO AL CARBONO, PARA SOLDAR. Ø 14"" (ASTM A-53)";UND;TUBERIAS;CHW;0
TEE-120;"TEE ACERO AL CARBONO, PARA SOLDAR. Ø 1/2"" (ASTM A-53)";UND;TUBERIAS;CHW;0
TEE-034;"TEE ACERO AL CARBONO, PARA SOLDAR. Ø 3/4"" (ASTM A-53)";UND;TUBERIAS;CHW;0
TEE-001;"TEE ACERO AL CARBONO, PARA SOLDAR. Ø 1"" (ASTM A-53)";UND;TUBERIAS;CHW;0
TEE-112;"TEE ACERO AL CARBONO, PARA SOLDAR. Ø 1 1/2"" (ASTM A-53)";UND;TUBERIAS;CHW;0
TEE-002;"TEE ACERO AL CARBONO, PARA SOLDAR. Ø 2"" (ASTM A-53)";UND;TUBERIAS;CHW;0
TEE-212;"TEE ACERO AL CARBONO, PARA SOLDAR. Ø 2 1/2"" (ASTM A-53)";UND;TUBERIAS;CHW;0
TEE-003;"TEE ACERO AL CARBONO, PARA SOLDAR. Ø 3"" (ASTM A-53)";UND;TUBERIAS;CHW;0
TEE-004;"TEE ACERO AL CARBONO, PARA SOLDAR. Ø 4"" (ASTM A-53)";UND;TUBERIAS;CHW;0
TEE-006;"TEE ACERO AL CARBONO, PARA SOLDAR. Ø 6"" (ASTM A-53)";UND;TUBERIAS;CHW;0
TEE-008;"TEE ACERO AL CARBONO, PARA SOLDAR. Ø 8"" (ASTM A-53)";UND;TUBERIAS;CHW;0
TEE-010;"TEE ACERO AL CARBONO, PARA SOLDAR. Ø 10"" (ASTM A-53)";UND;TUBERIAS;CHW;0
TEE-012;"TEE ACERO AL CARBONO, PARA SOLDAR. Ø 12"" (ASTM A-53)";UND;TUBERIAS;CHW;0
TEE-014;"TEE ACERO AL CARBONO, PARA SOLDAR. Ø 14"" (ASTM A-53)";UND;TUBERIAS;CHW;0
THN-034;"TEE HIERRO NEGRO, NPT, 150 LBS. Ø 3/4""";UND;TUBERIAS;CHW;0
YEE-004;"YEE ACERO AL CARBONO, PARA SOLDAR. Ø 4"" (ASTM A-53)";UND;TUBERIAS;CHW;0
YEE-006;"YEE ACERO AL CARBONO, PARA SOLDAR. Ø 6"" (ASTM A-53)";UND;TUBERIAS;CHW;0
YEE-008;"YEE ACERO AL CARBONO, PARA SOLDAR. Ø 8"" (ASTM A-53)";UND;TUBERIAS;CHW;0
AAS120;"ANILLO ACERO AL CARBONO, PARA SOLDAR. Ø 1/2"" (ASTM A-53)";UND;TUBERIAS;CHW;0
AAS034;"ANILLO ACERO AL CARBONO, PARA SOLDAR. Ø 3/4"" (ASTM A-53)";UND;TUBERIAS;CHW;0
AAS001;"ANILLO ACERO AL CARBONO, PARA SOLDAR. Ø 1"" (ASTM A-53)";UND;TUBERIAS;CHW;0
AAS112;"ANILLO ACERO AL CARBONO, PARA SOLDAR. Ø 1 1/2"" (ASTM A-53)";UND;TUBERIAS;CHW;0
AAS002;"ANILLO ACERO AL CARBONO, PARA SOLDAR. Ø 2"" (ASTM A-53)";UND;TUBERIAS;CHW;0
AAS003;"ANILLO ACERO AL CARBONO, PARA SOLDAR. Ø 3"" (ASTM A-53)";UND;TUBERIAS;CHW;0
AAS004;"ANILLO ACERO AL CARBONO, PARA SOLDAR. Ø 4"" (ASTM A-53)";UND;TUBERIAS;CHW;0
AAS006;"ANILLO ACERO AL CARBONO, PARA SOLDAR. Ø 6"" (ASTM A-53)";UND;TUBERIAS;CHW;0
AAS008;"ANILLO ACERO AL CARBONO, PARA SOLDAR. Ø 8"" (ASTM A-53)";UND;TUBERIAS;CHW;0
AAS010;"ANILLO ACERO AL CARBONO, PARA SOLDAR. Ø 10"" (ASTM A-53)";UND;TUBERIAS;CHW;0
AAS012;"ANILLO ACERO AL CARBONO, PARA SOLDAR. Ø 12"" (ASTM A-53)";UND;TUBERIAS;CHW;0
AAS014;"ANILLO ACERO AL CARBONO, PARA SOLDAR. Ø 14"" (ASTM A-53)";UND;TUBERIAS;CHW;0
BC120;"BRIDA CIEGA, CLASS 150, ACERO AL CARBONO Ø 1/2"" (ASTM A-53)";UND;TUBERIAS;CHW;0
BC034;"BRIDA CIEGA, CLASS 150, ACERO AL CARBONO Ø 3/4"" (ASTM A-53)";UND;TUBERIAS;CHW;0
BC001;"BRIDA CIEGA, CLASS 150, ACERO AL CARBONO Ø 1"" (ASTM A-53)";UND;TUBERIAS;CHW;0
BC112;"BRIDA CIEGA, CLASS 150, ACERO AL CARBONO Ø 1 1/2"" (ASTM A-53)";UND;TUBERIAS;CHW;0
BC002;"BRIDA CIEGA, CLASS 150, ACERO AL CARBONO Ø 2"" (ASTM A-53)";UND;TUBERIAS;CHW;0
BC003;"BRIDA CIEGA, CLASS 150, ACERO AL CARBONO Ø 3"" (ASTM A-53)";UND;TUBERIAS;CHW;0
BC004;"BRIDA CIEGA, CLASS 150, ACERO AL CARBONO Ø 4"" (ASTM A-53)";UND;TUBERIAS;CHW;0
BC006;"BRIDA CIEGA, CLASS 150, ACERO AL CARBONO Ø 6"" (ASTM A-53)";UND;TUBERIAS;CHW;0
BC008;"BRIDA CIEGA, CLASS 150, ACERO AL CARBONO Ø 8"" (ASTM A-53)";UND;TUBERIAS;CHW;0
BC010;"BRIDA CIEGA, CLASS 150, ACERO AL CARBONO Ø 10"" (ASTM A-53)";UND;TUBERIAS;CHW;0
BC012;"BRIDA CIEGA, CLASS 150, ACERO AL CARBONO Ø 12"" (ASTM A-53)";UND;TUBERIAS;CHW;0
BC014;"BRIDA CIEGA, CLASS 150, ACERO AL CARBONO Ø 14"" (ASTM A-53)";UND;TUBERIAS;CHW;0
BSO120;"BRIDA SLIP-ON, CLASS 150, ACERO AL CARBONO Ø 1/2"" (ASTM A-53)";UND;TUBERIAS;CHW;0
BSO034;"BRIDA SLIP-ON, CLASS 150, ACERO AL CARBONO Ø 3/4"" (ASTM A-53)";UND;TUBERIAS;CHW;0
BSO112;"BRIDA SLIP-ON, CLASS 150, ACERO AL CARBONO Ø 1 1/2"" (ASTM A-53)";UND;TUBERIAS;CHW;0
BSO001;"BRIDA SLIP-ON, CLASS 150, ACERO AL CARBONO Ø 1"" (ASTM A-53)";UND;TUBERIAS;CHW;0
BSO002;"BRIDA SLIP-ON, CLASS 150, ACERO AL CARBONO Ø 2"" (ASTM A-53)";UND;TUBERIAS;CHW;0
BSO212;"BRIDA SLIP-ON, CLASS 150, ACERO AL CARBONO Ø 2 1/2"" (ASTM A-53)";UND;TUBERIAS;CHW;0
BSO003;"BRIDA SLIP-ON, CLASS 150, ACERO AL CARBONO Ø 3"" (ASTM A-53)";UND;TUBERIAS;CHW;0
BSO004;"BRIDA SLIP-ON, CLASS 150, ACERO AL CARBONO Ø 4"" (ASTM A-53)";UND;TUBERIAS;CHW;0
BSO005;"BRIDA SLIP-ON, CLASS 150, ACERO AL CARBONO Ø 5"" (ASTM A-53)";UND;TUBERIAS;CHW;0
BSO006;"BRIDA SLIP-ON, CLASS 150, ACERO AL CARBONO Ø 6"" (ASTM A-53)";UND;TUBERIAS;CHW;0
BSO008;"BRIDA SLIP-ON, CLASS 150, ACERO AL CARBONO Ø 8"" (ASTM A-53)";UND;TUBERIAS;CHW;0
BSO010;"BRIDA SLIP-ON, CLASS 150, ACERO AL CARBONO Ø 10"" (ASTM A-53)";UND;TUBERIAS;CHW;0
BSO012;"BRIDA SLIP-ON, CLASS 150, ACERO AL CARBONO Ø 12"" (ASTM A-53)";UND;TUBERIAS;CHW;0
BSO014;"BRIDA SLIP-ON, CLASS 150, ACERO AL CARBONO Ø 14"" (ASTM A-53)";UND;TUBERIAS;CHW;0
BWN005;"BRIDA WELDING NECK, CLASS 150, ACERO AL CARBONO Ø 5"" (ASTM A-53)";UND;TUBERIAS;CHW;0
REC001X034;"REDUCCION CONCENTRICA ACERO AL CARBONO, PARA SOLDAR. Ø 1""X3/4"" (ASTM A-53)";UND;TUBERIAS;CHW;0
REC112X112;"REDUCCION CONCENTRICA ACERO AL CARBONO, PARA SOLDAR. Ø1 1/2""X1/2"" (ASTM A-53)";UND;TUBERIAS;CHW;0
REC112X034;"REDUCCION CONCENTRICA ACERO AL CARBONO, PARA SOLDAR. Ø 1 1/2""X3/4"" (ASTM A-53)";UND;TUBERIAS;CHW;0
REC112X001;"REDUCCION CONCENTRICA ACERO AL CARBONO, PARA SOLDAR. Ø 1 1/2""X1"" (ASTM A-53)";UND;TUBERIAS;CHW;0
REC002X034;"REDUCCION CONCENTRICA ACERO AL CARBONO, PARA SOLDAR. Ø 2""X3/4"" (ASTM A-53)";UND;TUBERIAS;CHW;0
REC002X001;"REDUCCION CONCENTRICA ACERO AL CARBONO, PARA SOLDAR. Ø 2""X1"" (ASTM A-53)";UND;TUBERIAS;CHW;0
REC002X112;"REDUCCION CONCENTRICA ACERO AL CARBONO, PARA SOLDAR. Ø 2""X1 1/2"" (ASTM A-53)";UND;TUBERIAS;CHW;0
REC212X002;"REDUCCION CONCENTRICA ACERO AL CARBONO, PARA SOLDAR. Ø 2 1/2""X 2"" (ASTM A-53)";UND;TUBERIAS;CHW;0
REC003X002;"REDUCCION CONCENTRICA ACERO AL CARBONO, PARA SOLDAR. Ø 3""X2"" (ASTM A-53)";UND;TUBERIAS;CHW;0
REC003X212;"REDUCCION CONCENTRICA ACERO AL CARBONO, PARA SOLDAR. Ø 3""X2 1/2"" (ASTM A-53)";UND;TUBERIAS;CHW;0
REC004X112;"REDUCCION CONCENTRICA ACERO AL CARBONO, PARA SOLDAR. Ø 4""X1 1/2"" (ASTM A-53)";UND;TUBERIAS;CHW;0
REC004X002;"REDUCCION CONCENTRICA ACERO AL CARBONO, PARA SOLDAR. Ø 4""X2"" (ASTM A-53)";UND;TUBERIAS;CHW;0
REC004X003;"REDUCCION CONCENTRICA ACERO AL CARBONO, PARA SOLDAR. Ø 4""X3"" (ASTM A-53)";UND;TUBERIAS;CHW;0
REC006X001;"REDUCCION CONCENTRICA ACERO AL CARBONO, PARA SOLDAR. Ø 6""X1"" (ASTM A-53)";UND;TUBERIAS;CHW;0
REC006X003;"REDUCCION CONCENTRICA ACERO AL CARBONO, PARA SOLDAR. Ø 6""X3"" (ASTM A-53)";UND;TUBERIAS;CHW;0
REC006X004;"REDUCCION CONCENTRICA ACERO AL CARBONO, PARA SOLDAR. Ø 6""X4"" (ASTM A-53)";UND;TUBERIAS;CHW;0
REC006X005;"REDUCCION CONCENTRICA ACERO AL CARBONO, PARA SOLDAR. Ø 6""X5"" (ASTM A-53)";UND;TUBERIAS;CHW;0
REC008X112;"REDUCCION CONCENTRICA ACERO AL CARBONO, PARA SOLDAR. Ø 8""X1 1/2"" (ASTM A-53)";UND;TUBERIAS;CHW;0
REC008X004;"REDUCCION CONCENTRICA ACERO AL CARBONO, PARA SOLDAR. Ø 8""X4"" (ASTM A-53)";UND;TUBERIAS;CHW;0
REC008X006;"REDUCCION CONCENTRICA ACERO AL CARBONO, PARA SOLDAR. Ø 8""X6"" (ASTM A-53)";UND;TUBERIAS;CHW;0
REC010X005;"REDUCCION CONCENTRICA ACERO AL CARBONO, PARA SOLDAR. Ø 10""X5"" (ASTM A-53)";UND;TUBERIAS;CHW;0
REC010X006;"REDUCCION CONCENTRICA ACERO AL CARBONO, PARA SOLDAR Ø 10""X6"" (ASTM A-53)";UND;TUBERIAS;CHW;0
REC010X008;"REDUCCION CONCENTRICA ACERO AL CARBONO, PARA SOLDAR. Ø 10""X8"" (ASTM A-53)";UND;TUBERIAS;CHW;0
REC012X010;"REDUCCION CONCENTRICA ACERO AL CARBONO, PARA SOLDAR. Ø 12""X10"" (ASTM A-53)";UND;TUBERIAS;CHW;0
REC014X010;"REDUCCION CONCENTRICA ACERO AL CARBONO, PARA SOLDAR. Ø 14""X10"" (ASTM A-53)";UND;TUBERIAS;CHW;0
REC014X012;"REDUCCION CONCENTRICA ACERO AL CARBONO, PARA SOLDAR. Ø 14""X12"" (ASTM A-53)";UND;TUBERIAS;CHW;0
TEER-1X1X34;"TEE REDUCTORA ACERO AL CARBONO. Ø 1""X1""X3/4"" (ASTM A-53)";UND;TUBERIAS;CHW;0
TEER-112X112X12;"TEE REDUCTORA ACERO AL CARBONO. Ø 1 1/2""X1 1/2""X1/2"" (ASTM A-53)";UND;TUBERIAS;CHW;0
TEER-112X112X34;"TEE REDUCTORA ACERO AL CARBONO. Ø 1 1/2""X1 1/2""X3/4"" (ASTM A-53)";UND;TUBERIAS;CHW;0
TEER-112X112X1;"TEE REDUCTORA ACERO AL CARBONO. Ø 1 1/2""X1 1/2""X1"" (ASTM A-53)";UND;TUBERIAS;CHW;0
TEER-2X2X34;"TEE REDUCTORA ACERO AL CARBONO. Ø 2""X2""X3/4"" (ASTM A-53)";UND;TUBERIAS;CHW;0
TEER-2X2X1;"TEE REDUCTORA ACERO AL CARBONO. Ø 2""X2""X1"" (ASTM A-53)";UND;TUBERIAS;CHW;0
TEER-2X2X112;"TEE REDUCTORA ACERO AL CARBONO. Ø 2""X2""X1 1/2"" (ASTM A-53)";UND;TUBERIAS;CHW;0
TEER-3X3X112;"TEE REDUCTORA ACERO AL CARBONO. Ø 3""X3""X1 1/2"" (ASTM A-53)";UND;TUBERIAS;CHW;0
TEER-4X4X112;"TEE REDUCTORA ACERO AL CARBONO. Ø 4""X4""X1 1/2"" (ASTM A-53)";UND;TUBERIAS;CHW;0
TEER-4X4X2;"TEE REDUCTORA ACERO AL CARBONO. Ø 4""X4""X2"" (ASTM A-53)";UND;TUBERIAS;CHW;0
TEER-6X6X3;"TEE REDUCTORA ACERO AL CARBONO. Ø 6""X6""X3"" (ASTM A-53)";UND;TUBERIAS;CHW;0
TEER-6X6X4;"TEE REDUCTORA ACERO AL CARBONO. Ø 6""X6""X4"" (ASTM A-53)";UND;TUBERIAS;CHW;0
TEER-8X8X4;"TEE REDUCTORA ACERO AL CARBONO. Ø 8""X8""X4"" (ASTM A-53)";UND;TUBERIAS;CHW;0
TEER-12X12X8;"TEE REDUCTORA ACERO AL CARBONO. Ø 12""X12""X8"" (ASTM A-53)";UND;TUBERIAS;CHW;0
TEER-14X14X8;"TEE REDUCTORA ACERO AL CARBONO. Ø 14""X14""X8"" (ASTM A-53)";UND;TUBERIAS;CHW;0
TEER-14X14X10;"TEE REDUCTORA ACERO AL CARBONO. Ø 14""X14""X10"" (ASTM A-53)";UND;TUBERIAS;CHW;0
JEB112;"JUNTA DE EXPANSION, BRIDADA, CON BRIDAS ANSI CLASS 150,Ø 1 1/2""";UND;TUBERIAS;CHW;0
JEB002;"JUNTA DE EXPANSION, BRIDADA, CON BRIDAS ANSI CLASS 150, Ø 2""";UND;TUBERIAS;CHW;0
JEB003;"JUNTA DE EXPANSION, BRIDADA, CON BRIDAS ANSI CLASS 150, Ø 3""";UND;TUBERIAS;CHW;0
JEB004;"JUNTA DE EXPANSION, BRIDADA, CON BRIDAS ANSI CLASS 150, Ø 4""";UND;TUBERIAS;CHW;0
JEB006;"JUNTA DE EXPANSION, BRIDADA, CON BRIDAS ANSI CLASS 150, Ø 6""";UND;TUBERIAS;CHW;0
